date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:36	7475/7475	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Dec%202019%2006:52:06%20GMT	http://theme.dsngrid.com/droow-l/assets/img/logo/5-light.png	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/logo/5-light.png	(from http://theme.dsngrid.com/droow-l/)
19:42:37	6703/6703	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Dec%202019%2006:52:28%20GMT	http://theme.dsngrid.com/droow-l/assets/img/logo/6-light.png	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/logo/6-light.png	(from http://theme.dsngrid.com/droow-l/)
19:42:38	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2027%20Dec%202018%2004:06:54%20GMT	http://theme.dsngrid.com/droow-l/assets/img/favicon.ico	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/favicon.ico	(from http://theme.dsngrid.com/droow-l/)
19:42:39	48488/48488	---M--	200	added ('OK')	text/css	date:Mon,%2004%20May%202020%2021:29:02%20GMT	http://theme.dsngrid.com/droow-l/assets/css/plugins/bootstrap-grid.min.css	D:/Sociomark/theme.dsngrid.com/droow-l/assets/css/plugins/bootstrap-grid.min.css	(from http://theme.dsngrid.com/droow-l/assets/css/plugins.css)
19:42:43	69727/69727	---M--	200	added ('OK')	text/css	date:Mon,%2004%20May%202020%2021:29:01%20GMT	http://theme.dsngrid.com/droow-l/assets/css/plugins/animate.css	D:/Sociomark/theme.dsngrid.com/droow-l/assets/css/plugins/animate.css	(from http://theme.dsngrid.com/droow-l/assets/css/plugins.css)
19:42:43	26021/26021	---M--	200	added ('OK')	application/javascript	date:Mon,%2004%20May%202020%2021:28:46%20GMT	http://theme.dsngrid.com/droow-l/assets/js/custom.js	D:/Sociomark/theme.dsngrid.com/droow-l/assets/js/custom.js	(from http://theme.dsngrid.com/droow-l/)
19:42:43	19778/19778	---M--	200	added ('OK')	text/css	date:Mon,%2004%20May%202020%2021:29:06%20GMT	http://theme.dsngrid.com/droow-l/assets/css/plugins/swiper.min.css	D:/Sociomark/theme.dsngrid.com/droow-l/assets/css/plugins/swiper.min.css	(from http://theme.dsngrid.com/droow-l/assets/css/plugins.css)
19:42:44	28765/28765	---M--	200	added ('OK')	text/css	date:Mon,%2004%20May%202020%2021:29:01%20GMT	http://theme.dsngrid.com/droow-l/assets/css/plugins/aos.css	D:/Sociomark/theme.dsngrid.com/droow-l/assets/css/plugins/aos.css	(from http://theme.dsngrid.com/droow-l/assets/css/plugins.css)
19:42:45	1850/1850	---M--	200	added ('OK')	text/css	date:Mon,%2004%20May%202020%2021:29:05%20GMT	http://theme.dsngrid.com/droow-l/assets/css/plugins/youtubepopup.css	D:/Sociomark/theme.dsngrid.com/droow-l/assets/css/plugins/youtubepopup.css	(from http://theme.dsngrid.com/droow-l/assets/css/plugins.css)
19:42:47	1980/1980	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Dec%202019%2007:08:24%20GMT	http://theme.dsngrid.com/droow-l/assets/img/arrow-right-dark.png	D:/Sociomark/theme.dsngrid.com/droow-l/assets/img/arrow-right-dark.png	(from http://theme.dsngrid.com/droow-l/one-page-3.html)
